customer_name,total_sales
"Sean Miller",25043.07
"Tamara Chand",19052.22
"Raymond Buch",15117.35
"Tom Ashbrook",14595.62
"Adrian Barton",14473.57
"Ken Lonsdale",14175.23
"Sanjit Chand",14142.34
"Hunter Lopez",12873.30
"Sanjit Engle",12209.44
"Christopher Conant",12129.08
"Todd Sumrall",11891.75
"Greg Tran",11820.12
"Becky Martin",11789.64
"Seth Vernon",11470.94
"Caroline Jumper",11164.97
"Clay Ludtke",10880.56
"Maria Etezadi",10663.73
"Karen Ferguson",10604.26
"Bill Shonely",10501.65
"Edward Hooks",10310.87
"John Lee",9799.94
"Grant Thornton",9351.20
"Helen Wasserman",9300.25
"Tom Boeckenhauer",9133.99
"Peter Fuller",9062.86
"Christopher Martinez",8954.01
"Justin Deggeller",8828.04
"Joe Elijah",8697.86
"Laura Armstrong",8673.23
"Pete Kriz",8646.93
"Daniel Raglin",8350.87
"Natalie Fritzler",8322.82
"Karen Daniels",8282.36
"Nick Crebassa",8241.74
"Harry Marie",8236.76
"Keith Dawkins",8181.24
"Sean Braxton",8057.89
"Zuschuss Carroll",8025.70
"Joseph Holt",7954.99
"Nora Preis",7903.18
"Anna Häberlin",7888.30
"Adam Bellavance",7755.63
"Jim Epp",7754.97
"Jane Waco",7721.71
"Lena Creighton",7663.13
"John Murray",7625.07
"Jonathan Doherty",7610.87
"Patrick O'Brill",7473.84
"Maribeth Schnelling",7443.68
"Rick Wilson",7397.40
"Brian Moss",7294.18
"Paul Prost",7252.61
"Natalie Webber",7234.02
"Dean percer",7198.77
"Fred Hopkins",6987.20
"Rick Huthwaite",6979.18
"Penelope Sewall",6843.63
"Brenda Bowman",6765.73
"Joel Eaton",6760.81
"Yana Sorensen",6720.44
"Andy Reiter",6608.45
"Dan Reichenbach",6528.03
"Grace Kelly",6497.28
"Joseph Airdo",6491.03
"Nathan Mautz",6459.34
"Valerie Dominguez",6442.26
"Sarah Brown",6411.00
"James Galang",6366.40
"Darrin Martin",6345.09
"Corinna Mitchell",6339.56
"Max Jones",6320.75
"Brosina Hoffman",6255.34
"Rob Lucas",6234.91
"William Brown",6160.10
"Victoria Wilson",6134.04
"Shirley Daniels",6121.10
"Quincy Jones",6108.34
"Alan Dominguez",6106.88
"Cassandra Brandow",6076.15
"Greg Maxwell",6049.96
"Shahid Collister",5992.53
"Kristen Hastings",5990.79
"Robert Marley",5979.09
"Keith Herrera",5952.86
"Ben Ferrer",5907.97
"Christine Phan",5888.30
"Bill Donatelli",5718.53
"Cindy Stewart",5690.07
"Anne McFarland",5664.02
"Ross Baird",5633.31
"Katherine Murray",5620.18
"Alex Avila",5563.56
"Suzanne McNair",5563.40
"Naresj Patel",5529.62
"Amy Cox",5527.85
"Mick Hernandez",5503.09
"Dennis Pardue",5480.73
"Emily Phan",5478.06
"Yoseph Carroll",5454.35
"Stefania Perrino",5440.32
"Luke Weiss",5420.52
"Cathy Prescott",5402.25
"Thomas Seio",5371.11
"Tonja Turnell",5364.80
"Mitch Webber",5341.90
"Tom Prescott",5328.98
"Tamara Willingham",5278.82
"Dianna Wilson",5271.63
"Mitch Willingham",5253.88
"Harold Ryan",5248.80
"Steven Cartwright",5226.20
"Resi Pölking",5153.06
"Lena Radford",5142.89
"Mike Pelletier",5087.93
"Anna Andreadi",5086.94
"Ivan Liston",5040.74
"Kelly Lampkin",5016.47
"Laurel Beltran",4985.68
"Dave Hallsten",4932.87
"Irene Maddox",4930.49
"Ted Trevino",4915.59
"Kunst Miller",4909.47
"Philisse Overcash",4893.05
"Heather Kirkland",4877.80
"Anthony Jacobs",4867.34
"Joe Kamberova",4867.21
"Alan Hwang",4805.35
"Dean Katz",4802.39
"Russell Applegate",4793.53
"Sue Ann Reed",4767.34
"Jim Kriz",4760.44
"Bart Watters",4750.36
"Tracy Blumstein",4737.48
"Giulietta Baptist",4716.30
"Rick Bensley",4715.47
"Erin Smith",4657.93
"Deborah Brumfield",4655.90
"Kean Thornton",4642.10
"Sample Company A",4624.57
"Eugene Moren",4588.44
"Dave Brooks",4531.65
"Anthony Rawles",4523.33
"Arthur Gainer",4510.79
"Anthony Johnson",4501.39
"Linda Cazamias",4492.94
"Stewart Carmichael",4492.68
"Theone Pippenger",4454.06
"Mark Cousins",4432.14
"Jamie Kunitz",4427.14
"Katrina Willman",4416.52
"Bradley Drucker",4411.25
"Arianne Irving",4375.79
"Scot Coram",4371.96
"Ellis Ballard",4358.13
"Gary Zandusky",4355.15
"Steven Roelle",4345.88
"Natalie DeCherney",4326.14
"Matt Abelman",4299.16
"Sung Pak",4282.92
"Dana Kaydos",4282.16
"Rick Duston",4272.94
"Toby Carlisle",4266.81
"Alan Schoenberger",4260.78
"Frank Hawley",4256.28
"Claudia Bergmann",4246.46
"Tracy Hopkins",4234.10
"Bill Eplett",4204.68
"Jill Fjeld",4198.32
"Gary Hwang",4172.84
"Roland Schwarz",4159.77
"Muhammed Yedwab",4152.70
"Peter McVee",4115.66
"Stewart Visinsky",4105.32
"Denise Monton",4074.47
"Frank Preis",4046.75
"Susan Pistek",3990.67
"Craig Molinari",3984.45
"Michael Paige",3983.65
"Sean Christensen",3979.06
"Sanjit Jacobs",3949.65
"Luke Foster",3930.52
"Pierre Wener",3922.41
"George Ashbrook",3919.77
"Ken Heidel",3918.96
"Chris Cortes",3913.43
"Dorothy Badders",3908.80
"Nora Paige",3908.40
"Kelly Collister",3908.27
"Fred Chung",3889.36
"Bill Stewart",3887.82
"John Stevenson",3868.01
"Ruben Ausman",3832.32
"Annie Thurman",3831.87
"Olvera Toch",3818.62
"Rose O'Brian",3815.47
"Michael Chen",3805.71
"Michael Moore",3794.07
"Carol Adams",3789.72
"Matthew Grinstein",3785.28
"Maribeth Dona",3766.40
"Jim Karlsson",3760.03
"Juliana Krohn",3747.66
"Frank Merwin",3736.20
"Scott Cohen",3729.80
"Hunter Glantz",3690.28
"Ben Peterman",3675.86
"Liz Preis",3653.40
"Christopher Schild",3651.86
"Ed Braxton",3644.97
"Jeremy Pistek",3635.59
"Sam Zeldin",3625.34
"Rick Hansen",3621.38
"Thomas Boland",3589.29
"Gary McGarr",3582.82
"Dionis Lloyd",3539.32
"Erica Smith",3510.46
"Robert Waldorf",3495.64
"Anna Gayman",3489.06
"Emily Ducich",3484.91
"Pauline Webber",3454.91
"Sarah Foster",3422.78
"Frank Carlisle",3418.74
"Sally Hughsby",3406.86
"Sandra Glassco",3406.58
"Trudy Schmidt",3368.08
"Sam Craven",3362.96
"Victoria Pisteka",3360.54
"Doug Jacobs",3356.40
"Dianna Vittorini",3341.58
"Sylvia Foulston",3336.53
"Dan Campbell",3336.17
"Arthur Prichep",3323.55
"Dennis Kane",3318.49
"Katharine Harms",3312.87
"Randy Ferguson",3309.14
"Rick Reed",3302.26
"Brian Dahlen",3288.48
"Brian Stugart",3288.12
"Rob Williams",3279.75
"Daniel Lacy",3272.20
"Damala Kotsonis",3256.48
"Adam Shillingsburg",3255.30
"Jack O'Briant",3254.95
"Adam Hart",3250.35
"Henry Goldwyn",3247.65
"Lindsay Castell",3246.63
"Carol Triggs",3241.90
"Edward Becker",3236.32
"Sharelle Roach",3233.48
"Lindsay Williams",3230.30
"Ricardo Sperren",3221.29
"Alejandro Savely",3214.24
"Mark Packer",3206.12
"Christine Sundaresam",3202.16
"Brian Thompson",3196.75
"Deirdre Greer",3195.82
"Jeremy Lonsdale",3173.87
"Greg Matthias",3163.63
"Janet Martin",3159.11
"Chloris Kastensmidt",3154.83
"Karen Bern",3152.61
"Maxwell Schwartz",3144.67
"Ruben Dartt",3133.92
"Tanja Norvell",3130.23
"Steve Nguyen",3127.97
"Speros Goranitis",3124.84
"Katherine Hughes",3100.60
"Patrick Gardner",3086.90
"Eugene Hildebrand",3082.64
"Gary Mitchum",3078.63
"Eugene Barchas",3071.14
"Mike Gockenbach",3061.54
"Toby Gnade",3058.38
"Kean Takahito",3057.10
"Shahid Shariari",3056.81
"Sara Luxemburg",3053.01
"Aaron Smayling",3050.69
"Cynthia Arntzen",3041.58
"Carlos Soltero",3036.53
"Lindsay Shagiari",2988.65
"Michelle Huthwaite",2984.95
"Frank Atkinson",2984.05
"David Bremer",2973.09
"Noel Staavos",2964.82
"Tamara Manning",2955.23
"Christine Kargatis",2945.32
"Thea Hudgings",2942.78
"Liz Thompson",2936.26
"Becky Castell",2933.67
"Julie Kriz",2932.49
"Shaun Weien",2921.54
"Maris LaWare",2921.51
"Rob Dowd",2912.90
"Craig Yedwab",2900.02
